temperature,moisture,gas
50.76,62.38,296.33
40.68,41.35,445.75
53.62,68.1,446.47
53.17,48.91,453.85
37.59,55.71,221.8
56.42,51.81,280.71
45.92,43.18,540.21
55.1,79.96,428.53
59.37,28.38,131.25
55.12,46.89,367.44
48.98,40.75,487.1
66.05,47.15,690.51
40.92,32.11,413.77
48.93,40.54,383.42
35.72,56.76,634.03
51.3,89.68,443.14
46.47,43.93,574.45
38.51,46.98,247.69
55.35,46.98,512.52
35.77,59.02,247.39
36.04,57.14,308.3
48.86,53.05,238.04
45.97,47.99,259.38
44.53,47.44,558.81
48.84,67.74,594.65
51.71,49.03,421.2
35.57,58.18,598.81
42.6,56.66,580.48
47.35,52.49,483.96
49.53,67.75,483.83
46.26,68.59,315.26
55.69,66.75,233.8
54.52,62.17,259.11
42.03,64.13,381.73
55.66,54.34,361.61
54.47,67.63,442.37
35.57,67.08,273.41
47.06,64.06,383.42
21.8,43.39,199.12
42.34,54.02,530.16
54.6,43.27,376.93
15.25,90.32,72.0
40.67,45.89,396.86
54.46,63.16,513.05
37.11,47.1,493.85
15.48,-4.38,96.22
52.08,47.87,238.02
50.79,62.46,574.38
49.29,55.43,320.54
53.06,58.09,313.56
39.42,60.42,216.06
35.81,62.06,734.97
59.39,51.13,461.03
43.25,41.48,592.08
52.99,55.14,401.81
40.85,57.88,474.44
47.17,63.37,428.97
37.95,42.0,279.28
52.62,30.75,226.65
44.05,64.5,257.21
48.29,77.9,403.65
37.19,43.16,510.71
59.19,47.23,268.52
51.1,47.68,477.92
39.74,45.38,409.05
50.68,65.53,452.0
52.51,55.02,246.84
25.79,78.54,477.67
38.81,59.56,466.27
58.96,69.39,592.01
35.18,57.43,308.21
38.61,51.21,444.62
49.42,23.89,687.35
55.82,69.15,247.89
45.8,66.25,498.08
49.48,57.73,535.19
46.67,51.21,578.41
37.07,59.27,454.56
57.71,44.39,462.51
40.06,45.24,508.84
56.46,46.91,331.34
51.55,63.54,318.14
44.69,43.95,509.73
61.87,31.46,140.68
84.72,99.3,1057.14
37.25,66.03,551.68
30.88,78.94,489.18
38.25,57.98,505.57
92.75,3.44,1366.23
46.78,54.66,574.46
59.27,55.57,520.35
47.27,44.04,258.05
52.49,64.74,214.47
44.26,64.93,428.97
58.17,55.45,280.96
91.27,98.41,78.12
54.22,68.47,364.72
54.03,64.89,521.76
36.1,42.83,301.35
49.6,41.3,540.45
37.35,56.65,539.42
43.15,43.68,425.98
58.45,56.08,578.41
41.67,53.88,479.91
57.57,40.63,520.39
46.84,65.73,431.21
44.27,48.73,493.96
49.13,59.89,512.12
42.65,41.6,479.25
43.29,51.55,459.69
43.71,41.97,374.8
54.35,43.23,566.54
4.43,-0.58,1220.1
48.85,51.03,253.64
40.36,44.21,454.83
45.4,47.48,277.22
50.87,48.59,350.54
55.81,40.42,463.15
35.85,39.64,793.23
38.86,62.4,436.03
45.93,63.32,572.49
37.41,43.46,222.89
51.81,49.82,321.88
42.03,51.38,371.16
39.87,59.85,518.05
57.33,49.48,437.47
46.01,20.75,554.4
48.02,59.19,576.24
